Year,Trade type,State,Merchandise,Partner country,Geographic level 1,Geographic level 2,Geographic level 3,Sector,Expenditure in thousands
2016,Total Exports,New South Wales," Monitors, projectors & TVs",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,2.716
2016,Total Exports,New South Wales, Sound & video recorders,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.05
2016,Total Exports,New South Wales, Telecom equipment & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,407.61
2016,Total Exports,New South Wales, Telecom equipment & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,32.589
2016,Total Exports,New South Wales, Telecom equipment & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,170.979
2016,Total Exports,New South Wales, Electric power machinery & parts,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.469
2016,Total Exports,New South Wales, Electric power machinery & parts,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,44.262
2016,Total Exports,New South Wales, Electric power machinery & parts,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,132.545
2016,Total Exports,New South Wales, Electrical circuits equipment,Lebanon,Asia,Middle East,Other Middle East,Manufactures,104.574
2016,Total Exports,New South Wales, Electrical circuits equipment,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,15.89
2016,Total Exports,New South Wales, Electrical circuits equipment,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,5.911
2016,Total Exports,New South Wales, Electrical circuits equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,949.903
2016,Total Exports,New South Wales, Electrical distributing equipment,Lebanon,Asia,Middle East,Other Middle East,Manufactures,0.121
2016,Total Exports,New South Wales, Electrical distributing equipment,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,84.403
2016,Total Exports,New South Wales, Medical electrodiagnostic apparatus,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5.171
2016,Total Exports,New South Wales," Household-type equipment, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,21.45
2016,Total Exports,New South Wales," Household-type equipment, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,24.353
2016,Total Exports,New South Wales," Electrical machinery & parts, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,69.89
2016,Total Exports,New South Wales," Electrical machinery & parts, nes",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,59.42
2016,Total Exports,New South Wales," Electrical machinery & parts, nes",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,37.695
2016,Total Exports,New South Wales," Electrical machinery & parts, nes",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,51.145
2016,Total Exports,New South Wales, Passenger motor vehicles,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1011.151
2016,Total Exports,New South Wales," Road motor vehicles, nes",Lebanon,Asia,Middle East,Other Middle East,Manufactures,89.085
2016,Total Exports,New South Wales, Vehicle parts & accessories,Lebanon,Asia,Middle East,Other Middle East,Manufactures,1233.715
2016,Total Exports,New South Wales, Vehicle parts & accessories,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,5.86
2016,Total Exports,New South Wales, Vehicle parts & accessories,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,14.834
2016,Total Exports,New South Wales, Motorcycles & cycles,Lebanon,Asia,Middle East,Other Middle East,Manufactures,95.65
2016,Total Exports,New South Wales, Motorcycles & cycles,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,1.71
2016,Total Exports,New South Wales," Trailers, semi-trailers & containers",Lebanon,Asia,Middle East,Other Middle East,Manufactures,7
2016,Total Exports,New South Wales," Trailers, semi-trailers & containers",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,154
2016,Total Exports,New South Wales, Railway vehicles (incl hovertrains),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,111.748
2016,Total Exports,New South Wales," Aircraft, spacecraft & parts",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,422.191
2016,Total Exports,New South Wales, Ships & boats (incl hovercraft),Lebanon,Asia,Middle East,Other Middle East,Manufactures,20
2016,Total Exports,New South Wales, Ships & boats (incl hovercraft),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,39.4
2016,Total Exports,New South Wales, Ships & boats (incl hovercraft),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,5.84
2016,Total Exports,New South Wales," Sanitary, plumbing & heating fittings",Lebanon,Asia,Middle East,Other Middle East,Manufactures,3.414
2016,Total Exports,New South Wales," Sanitary, plumbing & heating fittings",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,7.352
2016,Total Exports,New South Wales, Lighting fixtures & fittings,Lebanon,Asia,Middle East,Other Middle East,Manufactures,114.389
2016,Total Exports,New South Wales, Lighting fixtures & fittings,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,4.192
2016,Total Exports,New South Wales, Lighting fixtures & fittings,Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,66.631
2016,Total Exports,New South Wales," Furniture, mattresses & cushions",Lebanon,Asia,Middle East,Other Middle East,Manufactures,24.515
2016,Total Exports,New South Wales," Furniture, mattresses & cushions",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,6.891
2016,Total Exports,New South Wales," Travel goods, bags & like containers",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,12.036
2016,Total Exports,New South Wales, Men's clothing (excl knitted),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,2.414
2016,Total Exports,New South Wales, Women's clothing (excl knitted),Lebanon,Asia,Middle East,Other Middle East,Manufactures,102.226
2016,Total Exports,New South Wales, Women's clothing (excl knitted),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,Manufactures,4.6
2016,Total Exports,New South Wales, Women's clothing (excl knitted),Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,6.421
2016,Total Exports,New South Wales," Men's clothing, knitted",Norway,Europe,Northern & Western Europe,Northern Europe,Manufactures,11.623
2016,Total Exports,New South Wales," Women's clothing, knitted",Lebanon,Asia,Middle East,Other Middle East,Manufactures,17.014
